InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Month,Year,HighValueCustomer
552520,22273,FELTCRAFT DOLL MOLLY,1,09/05/2011 16:34,5.79,Unknown,United Kingdom,5.79,5,2011,No
571676,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1,18/10/2011 13:29,1.25,16910,United Kingdom,1.25,10,2011,No
579291,22426,ENAMEL WASH BOWL CREAM,1,29/11/2011 11:21,8.29,Unknown,United Kingdom,8.29,11,2011,No
550513,20886,BOX OF 9 PEBBLE CANDLES,4,18/04/2011 16:37,1.95,16928,United Kingdom,7.8,4,2011,No
579250,23491,VINTAGE JINGLE BELLS HEART,2,28/11/2011 16:35,8.25,14480,United Kingdom,16.5,11,2011,No
556914,22355,CHARLOTTE BAG SUKI DESIGN,10,15/06/2011 13:34,0.85,12877,United Kingdom,8.5,6,2011,No
581497,22896,PEG BAG APPLES DESIGN,2,09/12/2011 10:23,5.79,Unknown,United Kingdom,11.58,12,2011,No
551719,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,03/05/2011 16:09,2.46,Unknown,United Kingdom,2.46,5,2011,No
538349,22610,PENS ASSORTED FUNNY FACE,3,10/12/2010 14:59,1.66,Unknown,United Kingdom,4.98,12,2010,No
560090,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,14/07/2011 16:46,16.63,Unknown,United Kingdom,16.63,7,2011,No
571442,23330,DECORATIVE WICKER HEART MEDIUM,12,17/10/2011 13:39,1.25,17049,United Kingdom,15,10,2011,No
547850,85188A,GREEN METAL SWINGING BUNNY,4,27/03/2011 12:06,0.85,14472,United Kingdom,3.4,3,2011,No
574864,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,4,07/11/2011 12:29,3.75,14387,United Kingdom,15,11,2011,No
566023,21890,S/6 WOODEN SKITTLES IN COTTON BAG,12,08/09/2011 12:48,3.25,12955,United Kingdom,39,9,2011,No
564754,22993,SET OF 4 PANTRY JELLY MOULDS,2,30/08/2011 10:29,2.46,Unknown,United Kingdom,4.92,8,2011,No
550335,22505,MEMO BOARD COTTAGE DESIGN,2,17/04/2011 14:36,4.95,15535,United Kingdom,9.9,4,2011,No
562715,22244,3 HOOK HANGER MAGIC GARDEN,1,08/08/2011 15:34,4.13,Unknown,United Kingdom,4.13,8,2011,No
574882,21137,BLACK RECORD COVER FRAME,6,07/11/2011 13:45,3.75,13599,United Kingdom,22.5,11,2011,No
554098,21088,SET/6 FRUIT SALAD PAPER CUPS,3,22/05/2011 13:01,0.19,14769,United Kingdom,0.57,5,2011,No
557268,22023,EMPIRE BIRTHDAY CARD,12,19/06/2011 11:26,0.42,13097,United Kingdom,5.04,6,2011,No
570791,23263,SET OF 3 WOODEN HEART DECORATIONS,1,12/10/2011 11:58,1.25,17346,United Kingdom,1.25,10,2011,No
562716,22083,PAPER CHAIN KIT RETROSPOT,40,08/08/2011 15:35,2.55,14257,United Kingdom,102,8,2011,No
575739,22260,FELT EGG COSY BLUE RABBIT ,1,11/11/2011 09:05,1.63,Unknown,United Kingdom,1.63,11,2011,No
550779,22077,6 RIBBONS RUSTIC CHARM,144,20/04/2011 13:36,1.45,17511,United Kingdom,208.8,4,2011,No
548860,85152,HAND OVER THE CHOCOLATE   SIGN ,5,04/04/2011 13:38,2.1,13263,United Kingdom,10.5,4,2011,No
561670,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,12,28/07/2011 17:15,1.25,17373,United Kingdom,15,7,2011,No
551978,22767,TRIPLE PHOTO FRAME CORNICE ,6,05/05/2011 13:43,9.95,17527,United Kingdom,59.7,5,2011,No
567673,21843,RED RETROSPOT CAKE STAND,4,21/09/2011 15:43,8.29,Unknown,United Kingdom,33.16,9,2011,No
576876,23013,GLASS APOTHECARY BOTTLE TONIC,1,16/11/2011 16:42,3.95,16804,United Kingdom,3.95,11,2011,No
548745,22077,6 RIBBONS RUSTIC CHARM,12,04/04/2011 12:10,1.65,12471,Germany,19.8,4,2011,No
537211,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,05/12/2010 15:18,3.75,16143,United Kingdom,15,12,2010,No
575735,23129,HEART SHAPED HOLLY WREATH,4,11/11/2011 08:46,4.15,14156,Eire,16.6,11,2011,No
537852,22801,ANTIQUE GLASS PEDESTAL BOWL,6,08/12/2010 15:56,3.75,17340,United Kingdom,22.5,12,2010,No
547406,17003,BROCADE RING PURSE ,36,23/03/2011 08:26,0.29,16948,United Kingdom,10.44,3,2011,No
577554,22966,GINGERBREAD MAN COOKIE CUTTER,3,20/11/2011 15:35,1.25,15533,United Kingdom,3.75,11,2011,No
578814,20725,LUNCH BAG RED RETROSPOT,3,25/11/2011 13:40,1.65,12748,United Kingdom,4.95,11,2011,No
541269,21088,SET/6 FRUIT SALAD PAPER CUPS,12,17/01/2011 11:01,0.65,12626,Germany,7.8,1,2011,No
541110,71406C,BLACK ORANGE SQUEEZER,4,13/01/2011 15:11,0.42,15916,United Kingdom,1.68,1,2011,No
538638,90078,PINK/WHITE GLASS DEMI CHOKER,2,13/12/2010 14:16,7.5,17231,United Kingdom,15,12,2010,No
556038,22470,HEART OF WICKER LARGE,10,08/06/2011 12:38,2.95,13184,United Kingdom,29.5,6,2011,No
553149,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,13/05/2011 14:16,1.25,14226,United Kingdom,15,5,2011,No
575219,21217,RED RETROSPOT ROUND CAKE TINS,12,09/11/2011 11:17,8.95,17511,United Kingdom,107.4,11,2011,No
555397,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,02/06/2011 17:26,3.29,Unknown,United Kingdom,3.29,6,2011,No
563432,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,16/08/2011 12:12,1.65,16713,United Kingdom,4.95,8,2011,No
543985,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1,15/02/2011 09:44,2.46,Unknown,United Kingdom,2.46,2,2011,No
559557,10133,COLOURING PENCILS BROWN TUBE,20,11/07/2011 10:33,0.42,17444,Canada,8.4,7,2011,No
569374,23164,REGENCY CAKE SLICE,1,03/10/2011 16:14,9.96,Unknown,United Kingdom,9.96,10,2011,No
570103,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,5,07/10/2011 12:18,2.08,15719,United Kingdom,10.4,10,2011,No
575930,21090,SET/6 COLLAGE PAPER PLATES,12,11/11/2011 17:58,0.83,Unknown,United Kingdom,9.96,11,2011,No
557968,22423,REGENCY CAKESTAND 3 TIER,16,24/06/2011 09:43,10.95,17061,United Kingdom,175.2,6,2011,No
574298,90158,ST TROPEZ NECKLACE,1,03/11/2011 15:56,4.98,Unknown,United Kingdom,4.98,11,2011,No
557301,22113,GREY HEART HOT WATER BOTTLE,4,19/06/2011 14:08,3.75,15373,United Kingdom,15,6,2011,No
541506,21041,RED RETROSPOT OVEN GLOVE DOUBLE,2,18/01/2011 16:05,5.79,Unknown,United Kingdom,11.58,1,2011,No
579100,23570,TRADITIONAL PICK UP STICKS GAME ,12,28/11/2011 11:27,1.25,13004,United Kingdom,15,11,2011,No
575607,22817,CARD SUKI BIRTHDAY,1,10/11/2011 12:37,0.42,14096,United Kingdom,0.42,11,2011,No
558540,21534,DAIRY MAID LARGE MILK JUG,6,30/06/2011 12:15,4.95,17706,United Kingdom,29.7,6,2011,No
573348,23321,SMALL WHITE HEART OF WICKER,6,30/10/2011 12:27,1.65,14487,United Kingdom,9.9,10,2011,No
575931,22963,JAM JAR WITH GREEN LID,12,13/11/2011 10:35,0.85,16560,United Kingdom,10.2,11,2011,No
548757,22702,BLACK AND WHITE CAT BOWL,6,04/04/2011 12:31,2.1,17419,United Kingdom,12.6,4,2011,No
560410,22986,WRAP GINGHAM ROSE ,25,18/07/2011 14:28,0.42,17213,United Kingdom,10.5,7,2011,No
575944,90058B,CRYSTAL STUD EARRINGS ASSORTED COL ,36,13/11/2011 11:46,0.38,16571,United Kingdom,13.68,11,2011,No
570333,47480,HANGING PHOTO CLIP ROPE LADDER,1,10/10/2011 12:19,1.65,18126,United Kingdom,1.65,10,2011,No
558614,21942,SKULLS DESIGN FLANNEL,1,30/06/2011 15:56,0.83,Unknown,United Kingdom,0.83,6,2011,No
539631,22130,PARTY CONE CHRISTMAS DECORATION ,2,20/12/2010 15:03,8.47,Unknown,United Kingdom,16.94,12,2010,No
548154,21671,RED SPOT CERAMIC DRAWER KNOB,12,29/03/2011 13:06,1.25,17675,United Kingdom,15,3,2011,No
545713,21976,PACK OF 60 MUSHROOM CAKE CASES,3,07/03/2011 10:11,2.08,Unknown,United Kingdom,6.24,3,2011,No
565617,85168B,BLACK BAROQUE CARRIAGE CLOCK,1,05/09/2011 15:30,8.29,Unknown,United Kingdom,8.29,9,2011,No
540418,21328,BALLOONS  WRITING SET ,1,07/01/2011 11:04,3.36,Unknown,United Kingdom,3.36,1,2011,No
572283,21034,REX CASH+CARRY JUMBO SHOPPER,3,23/10/2011 11:42,0.95,15000,United Kingdom,2.85,10,2011,No
569641,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,05/10/2011 12:27,1.25,12841,United Kingdom,15,10,2011,No
539042,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,15/12/2010 15:37,1.95,15062,United Kingdom,19.5,12,2010,No
576779,23510,MINI PLAYING CARDS GYMKHANA,48,16/11/2011 13:25,0.42,14554,United Kingdom,20.16,11,2011,No
571243,20963,APPLE BATH SPONGE,10,14/10/2011 15:26,1.25,14595,United Kingdom,12.5,10,2011,No
578258,23247,BISCUIT TIN 50'S CHRISTMAS,1,23/11/2011 13:01,2.89,13263,United Kingdom,2.89,11,2011,No
573300,22460,EMBOSSED GLASS TEALIGHT HOLDER,2,28/10/2011 16:10,1.25,16049,United Kingdom,2.5,10,2011,No
576076,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2,13/11/2011 16:18,0.55,14382,United Kingdom,1.1,11,2011,No
557528,84879,ASSORTED COLOUR BIRD ORNAMENT,16,21/06/2011 09:49,1.69,17159,United Kingdom,27.04,6,2011,No
550137,22447,PIN CUSHION BABUSHKA BLUE,6,14/04/2011 13:59,3.35,12477,Germany,20.1,4,2011,No
546976,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,18/03/2011 12:08,4.96,Unknown,United Kingdom,4.96,3,2011,No
578290,21175,GIN + TONIC DIET METAL SIGN,12,23/11/2011 14:07,2.55,13644,United Kingdom,30.6,11,2011,No
560772,22356,CHARLOTTE BAG PINK POLKADOT,4,20/07/2011 16:12,1.63,Unknown,United Kingdom,6.52,7,2011,No
548992,23010,CIRCUS PARADE BABY GIFT SET,6,05/04/2011 13:52,14.95,13089,United Kingdom,89.7,4,2011,No
558926,21535,RED RETROSPOT SMALL MILK JUG,6,05/07/2011 10:21,2.55,17469,United Kingdom,15.3,7,2011,No
540187,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,16,05/01/2011 13:53,3.75,15358,United Kingdom,60,1,2011,No
554285,22668,PINK BABY BUNTING,1,23/05/2011 14:15,5.79,Unknown,United Kingdom,5.79,5,2011,No
571714,90158,ST TROPEZ NECKLACE,1,18/10/2011 17:00,4.98,Unknown,United Kingdom,4.98,10,2011,No
561651,21731,RED TOADSTOOL LED NIGHT LIGHT,4,28/07/2011 15:36,3.29,Unknown,United Kingdom,13.16,7,2011,No
575842,21591,COSY HOUR CIGAR BOX MATCHES ,7,11/11/2011 12:01,1.25,15024,United Kingdom,8.75,11,2011,No
548894,22378,WALL TIDY RETROSPOT ,2,04/04/2011 16:01,4.13,Unknown,United Kingdom,8.26,4,2011,No
541219,85034C,3 ROSE MORRIS BOXED CANDLES,3,14/01/2011 14:06,3.29,Unknown,United Kingdom,9.87,1,2011,No
546508,22377,BOTTLE BAG RETROSPOT ,5,14/03/2011 12:11,2.1,15971,United Kingdom,10.5,3,2011,No
573366,22142,CHRISTMAS CRAFT WHITE FAIRY ,3,30/10/2011 13:17,1.45,16361,United Kingdom,4.35,10,2011,No
579711,23275,SET OF 3 HANGING OWLS OLLIE BEAK,1,30/11/2011 14:17,1.25,15060,United Kingdom,1.25,11,2011,No
538843,22654,DELUXE SEWING KIT ,2,14/12/2010 13:18,5.95,16033,United Kingdom,11.9,12,2010,No
544098,84879,ASSORTED COLOUR BIRD ORNAMENT,8,16/02/2011 10:04,1.69,16019,United Kingdom,13.52,2,2011,No
565397,23323,WHITE WICKER STAR ,2,02/09/2011 16:43,2.1,14171,United Kingdom,4.2,9,2011,No
550496,22356,CHARLOTTE BAG PINK POLKADOT,2,18/04/2011 15:05,0.85,Unknown,United Kingdom,1.7,4,2011,No
575176,23203,JUMBO BAG VINTAGE DOILY ,7,08/11/2011 18:29,4.13,Unknown,United Kingdom,28.91,11,2011,No
551982,51014A,"FEATHER PEN,HOT PINK",12,05/05/2011 13:56,0.85,15023,United Kingdom,10.2,5,2011,No
580884,22439,6 ROCKET BALLOONS ,1,06/12/2011 12:21,0.65,15907,United Kingdom,0.65,12,2011,No
562024,23296,SET OF 6 TEA TIME BAKING CASES,1,01/08/2011 16:07,3.29,Unknown,United Kingdom,3.29,8,2011,No
565928,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,08/09/2011 10:09,0.85,Unknown,Eire,10.2,9,2011,No
537237,85202,HANGING WOOD AND FELT HEART,1,06/12/2010 09:58,0.84,Unknown,United Kingdom,0.84,12,2010,No
569590,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,05/10/2011 11:25,4.95,13949,United Kingdom,14.85,10,2011,No
563169,22381,TOY TIDY PINK POLKADOT,5,12/08/2011 12:42,2.1,14911,Eire,10.5,8,2011,No
581219,23074,EMBOSSED HEART TRINKET BOX,1,08/12/2011 09:28,4.13,Unknown,United Kingdom,4.13,12,2011,No
541660,22766,PHOTO FRAME CORNICE,3,20/01/2011 12:20,2.95,17787,United Kingdom,8.85,1,2011,No
554498,22822,CREAM WALL PLANTER HEART SHAPED,2,24/05/2011 14:39,5.95,15314,United Kingdom,11.9,5,2011,No
559157,23203,JUMBO BAG DOILEY PATTERNS,10,06/07/2011 15:53,2.08,13999,United Kingdom,20.8,7,2011,No
565765,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,06/09/2011 14:19,3.25,12526,Germany,19.5,9,2011,No
557891,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,23/06/2011 14:05,1.25,17652,United Kingdom,15,6,2011,No
571682,23426,METAL SIGN DROP YOUR PANTS,1,18/10/2011 14:00,2.89,14179,United Kingdom,2.89,10,2011,No
546372,20728,LUNCH BAG CARS BLUE,12,11/03/2011 11:47,1.65,13098,United Kingdom,19.8,3,2011,No
554141,22227,HANGING HEART MIRROR DECORATION ,24,23/05/2011 10:34,0.65,14189,United Kingdom,15.6,5,2011,No
562558,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3,05/08/2011 16:43,3.25,13451,United Kingdom,9.75,8,2011,No
570197,21770,OPEN CLOSED METAL SIGN,1,07/10/2011 15:45,4.95,13755,United Kingdom,4.95,10,2011,No
571909,16236,KITTY PENCIL ERASERS,1,19/10/2011 15:08,0.21,15006,United Kingdom,0.21,10,2011,No
566290,23229,VINTAGE DONKEY TAIL GAME ,1,11/09/2011 15:24,3.75,14456,United Kingdom,3.75,9,2011,No
576141,22138,BAKING SET 9 PIECE RETROSPOT ,6,14/11/2011 10:47,4.95,14911,Eire,29.7,11,2011,No
551656,48187,DOORMAT NEW ENGLAND,2,03/05/2011 12:10,7.95,14911,Eire,15.9,5,2011,No
553161,84692,BOX OF 24 COCKTAIL PARASOLS,25,13/05/2011 15:48,0.42,12681,France,10.5,5,2011,No
578347,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,9,24/11/2011 09:26,0.83,Unknown,United Kingdom,7.47,11,2011,No
543518,20724,RED RETROSPOT CHARLOTTE BAG,100,09/02/2011 11:21,0.72,12753,Japan,72,2,2011,No
574914,85032B,BLOSSOM IMAGES GIFT WRAP SET,3,07/11/2011 16:16,0.65,17109,United Kingdom,1.95,11,2011,No
561209,22478,BIRDHOUSE GARDEN MARKER ,1,25/07/2011 16:57,2.46,Unknown,United Kingdom,2.46,7,2011,No
568048,23358,HOT STUFF HOT WATER BOTTLE,6,23/09/2011 12:36,3.75,14911,Eire,22.5,9,2011,No
554991,21843,RED RETROSPOT CAKE STAND,1,29/05/2011 14:03,10.95,14823,United Kingdom,10.95,5,2011,No
565766,21917,SET 12 KIDS  WHITE CHALK STICKS,1,06/09/2011 14:23,0.42,17841,United Kingdom,0.42,9,2011,No
580358,23498,CLASSIC BICYCLE CLIPS ,1,02/12/2011 16:07,1.45,17238,United Kingdom,1.45,12,2011,No
579167,22233,JIGSAW RABBIT AND BIRDHOUSE,2,28/11/2011 14:06,0.59,16800,United Kingdom,1.18,11,2011,No
536600,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,02/12/2010 08:32,4.25,17850,United Kingdom,17,12,2010,No
580695,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,05/12/2011 16:03,2.1,13230,United Kingdom,2.1,12,2011,No
555494,23061,VINTAGE EMBOSSED HEART,12,03/06/2011 14:33,1.25,15737,United Kingdom,15,6,2011,No
580694,22509,SEWING BOX RETROSPOT DESIGN ,4,05/12/2011 16:00,3.95,16600,United Kingdom,15.8,12,2011,No
578262,84992,72 SWEETHEART FAIRY CAKE CASES,1,23/11/2011 13:27,0.55,18283,United Kingdom,0.55,11,2011,No
546422,48187,DOORMAT NEW ENGLAND,1,13/03/2011 11:38,7.95,15547,United Kingdom,7.95,3,2011,No
550498,22703,PINK CAT BOWL,1,18/04/2011 15:14,2.1,14692,United Kingdom,2.1,4,2011,No
579787,79321,CHILLI LIGHTS,6,30/11/2011 15:33,12.46,Unknown,United Kingdom,74.76,11,2011,No
543481,20679,EDWARDIAN PARASOL RED,1,08/02/2011 16:25,5.95,14606,United Kingdom,5.95,2,2011,No
536749,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,02/12/2010 13:49,3.75,17976,United Kingdom,3.75,12,2010,No
550924,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,36,21/04/2011 14:33,4.15,12664,Finland,149.4,4,2011,No
538992,51008,AFGHAN SLIPPER SOCK PAIR,10,15/12/2010 11:56,3.45,15950,United Kingdom,34.5,12,2010,No
542618,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2,30/01/2011 15:52,3.75,14502,United Kingdom,7.5,1,2011,No
575176,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,08/11/2011 18:29,3.29,Unknown,United Kingdom,3.29,11,2011,No
576353,23461,SWEETHEART BIRD HOUSE,8,14/11/2011 16:17,4.15,15050,United Kingdom,33.2,11,2011,No
570685,72800D,4 BLUE DINNER CANDLES SILVER FLOCK,1,11/10/2011 16:25,2.55,13208,United Kingdom,2.55,10,2011,No
577252,21248,DOOR HANGER  MUM + DADS ROOM,2,18/11/2011 12:22,1.45,18034,United Kingdom,2.9,11,2011,No
554362,47591D,PINK FAIRY CAKE CHILDRENS APRON,2,24/05/2011 10:17,1.95,17811,United Kingdom,3.9,5,2011,No
543458,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,08/02/2011 13:28,0.85,14587,United Kingdom,1.7,2,2011,No
549100,22726,ALARM CLOCK BAKELIKE GREEN,2,06/04/2011 11:14,8.29,Unknown,United Kingdom,16.58,4,2011,No
572549,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5,24/10/2011 17:03,5.79,Unknown,United Kingdom,28.95,10,2011,No
543985,22312,OFFICE MUG WARMER POLKADOT,1,15/02/2011 09:44,5.79,Unknown,United Kingdom,5.79,2,2011,No
566864,21114,LAVENDER SCENTED FABRIC HEART,5,15/09/2011 12:51,1.25,17786,United Kingdom,6.25,9,2011,No
578539,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,24/11/2011 14:55,0.65,Unknown,Unspecified,15.6,11,2011,No
540239,21915,RED  HARMONICA IN BOX ,12,05/01/2011 14:48,1.25,12682,France,15,1,2011,No
561369,21508,VINTAGE KID DOLLY CARD ,1,26/07/2011 16:21,0.83,Unknown,United Kingdom,0.83,7,2011,No
558708,23208,LUNCH BAG VINTAGE LEAF DESIGN,1,01/07/2011 13:01,1.65,12748,United Kingdom,1.65,7,2011,No
578043,23389,SPACEBOY MINI BACKPACK,4,22/11/2011 14:39,4.15,12474,Germany,16.6,11,2011,No
570413,23263,SET OF 3 WOODEN HEART DECORATIONS,12,10/10/2011 13:13,1.25,17652,United Kingdom,15,10,2011,No
537604,22515,CHILDS GARDEN SPADE PINK,6,07/12/2010 13:01,2.1,13488,United Kingdom,12.6,12,2010,No
541205,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,14/01/2011 12:23,0.85,18106,United Kingdom,1.7,1,2011,No
551982,21876,POTTERING MUG,3,05/05/2011 13:56,1.25,15023,United Kingdom,3.75,5,2011,No
545317,47591d,PINK FAIRY CAKE CHILDRENS APRON,1,01/03/2011 14:14,4.96,Unknown,United Kingdom,4.96,3,2011,No
580059,22633,HAND WARMER UNION JACK,48,01/12/2011 13:22,2.1,17768,United Kingdom,100.8,12,2011,No
539595,22294,HEART FILIGREE DOVE  SMALL,1,20/12/2010 13:43,2.51,Unknown,United Kingdom,2.51,12,2010,No
568480,22942,CHRISTMAS LIGHTS 10 SANTAS ,2,27/09/2011 11:52,8.5,17490,United Kingdom,17,9,2011,No
580115,21086,SET/6 RED SPOTTY PAPER CUPS,3,01/12/2011 16:22,1.63,Unknown,United Kingdom,4.89,12,2011,No
570872,21154,RED RETROSPOT OVEN GLOVE ,1,12/10/2011 16:40,2.46,Unknown,United Kingdom,2.46,10,2011,No
548191,21731,RED TOADSTOOL LED NIGHT LIGHT,1,29/03/2011 15:20,3.29,Unknown,United Kingdom,3.29,3,2011,No
554094,22855,FINE WICKER HEART ,12,22/05/2011 12:49,1.25,15716,United Kingdom,15,5,2011,No
578949,22988,SOLDIERS EGG CUP ,2,27/11/2011 14:30,1.25,14954,United Kingdom,2.5,11,2011,No
563034,23203,JUMBO BAG VINTAGE DOILY ,10,11/08/2011 14:53,2.08,17644,United Kingdom,20.8,8,2011,No
563347,23087,ZINC  HEART T-LIGHT HOLDER,16,15/08/2011 13:46,1.25,16961,United Kingdom,20,8,2011,No
570168,22440,BALLOON WATER BOMB PACK OF 35,3,07/10/2011 14:05,0.42,17596,United Kingdom,1.26,10,2011,No
565420,22632,HAND WARMER RED RETROSPOT,2,04/09/2011 12:09,2.1,16326,United Kingdom,4.2,9,2011,No
577768,23348,CHILDRENS TOY COOKING UTENSIL SET,1,21/11/2011 15:18,4.13,Unknown,United Kingdom,4.13,11,2011,No
558754,22607,WOODEN ROUNDERS GARDEN SET ,2,03/07/2011 12:10,9.95,15518,United Kingdom,19.9,7,2011,No
576075,23123,COCKTAIL SWORDS 50 PIECES,6,13/11/2011 16:16,0.83,15861,United Kingdom,4.98,11,2011,No
541424,21882,SKULLS TAPE,1,17/01/2011 17:57,0.42,Unknown,United Kingdom,0.42,1,2011,No
559162,21090,SET/6 COLLAGE PAPER PLATES,10,06/07/2011 16:29,0.83,Unknown,United Kingdom,8.3,7,2011,No
580613,48194,DOORMAT HEARTS,2,05/12/2011 12:03,8.25,14759,United Kingdom,16.5,12,2011,No
543264,21156,RETROSPOT CHILDRENS APRON,10,04/02/2011 16:34,1.95,13069,United Kingdom,19.5,2,2011,No
559506,35653,VINTAGE BEAD NOTEBOOK,1,08/07/2011 15:17,2.46,Unknown,United Kingdom,2.46,7,2011,No
555245,20725,LUNCH BAG RED RETROSPOT,2,01/06/2011 14:12,1.65,14800,United Kingdom,3.3,6,2011,No
578036,22630,DOLLY GIRL LUNCH BOX,4,22/11/2011 14:04,1.95,16474,United Kingdom,7.8,11,2011,No
560426,23203,JUMBO BAG DOILEY PATTERNS,10,18/07/2011 15:15,2.08,14038,United Kingdom,20.8,7,2011,No
566275,22329,ROUND CONTAINER SET OF 5 RETROSPOT,3,11/09/2011 13:58,1.65,16549,United Kingdom,4.95,9,2011,No
577358,22996,TRAVEL CARD WALLET VINTAGE TICKET,2,18/11/2011 15:59,0.83,Unknown,United Kingdom,1.66,11,2011,No
565847,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,07/09/2011 12:44,5.79,Unknown,United Kingdom,5.79,9,2011,No
545078,21803,CHRISTMAS TREE STAR DECORATION,3,28/02/2011 10:15,0.42,Unknown,United Kingdom,1.26,2,2011,No
537618,22544,MINI JIGSAW SPACEBOY,24,07/12/2010 13:50,0.36,15061,United Kingdom,8.64,12,2010,No
564846,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,30/08/2011 15:16,2.95,14507,United Kingdom,44.25,8,2011,No
575919,22673,FRENCH GARDEN SIGN BLUE METAL,3,11/11/2011 17:00,1.25,15311,United Kingdom,3.75,11,2011,No
539642,22049,WRAP CHRISTMAS SCREEN PRINT,25,20/12/2010 15:35,0.42,15867,United Kingdom,10.5,12,2010,No
569868,21811,HANGING HEART WITH BELL,48,06/10/2011 14:59,0.39,13018,United Kingdom,18.72,10,2011,No
559051,22630,DOLLY GIRL LUNCH BOX,1,05/07/2011 16:47,4.13,Unknown,United Kingdom,4.13,7,2011,No
579146,23489,VINTAGE BELLS GARLAND,1,28/11/2011 13:14,2.89,16347,United Kingdom,2.89,11,2011,No
572499,22603,CHRISTMAS RETROSPOT TREE WOOD,12,24/10/2011 14:10,0.85,15786,United Kingdom,10.2,10,2011,No
557622,22536,MAGIC DRAWING SLATE PURDEY,1,21/06/2011 14:15,0.42,17960,United Kingdom,0.42,6,2011,No
566281,22028,PENNY FARTHING BIRTHDAY CARD,24,11/09/2011 14:15,0.42,12748,United Kingdom,10.08,9,2011,No
562593,21866,UNION JACK FLAG LUGGAGE TAG,3,07/08/2011 15:43,1.25,16549,United Kingdom,3.75,8,2011,No
555722,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,1,06/06/2011 16:06,29.17,Unknown,United Kingdom,29.17,6,2011,No
579286,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,29/11/2011 10:57,1.65,17772,United Kingdom,1.65,11,2011,No
558774,22233,JIGSAW RABBIT AND BIRDHOUSE,1,04/07/2011 10:17,1.25,Unknown,United Kingdom,1.25,7,2011,No
569338,22679,FRENCH BLUE METAL DOOR SIGN 4,20,03/10/2011 14:18,1.25,16013,United Kingdom,25,10,2011,No
575211,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,09/11/2011 10:39,2.08,17377,United Kingdom,2.08,11,2011,No
551657,22662,LUNCH BAG DOLLY GIRL DESIGN,10,03/05/2011 12:12,1.65,14911,Eire,16.5,5,2011,No
568710,22906,12 MESSAGE CARDS WITH ENVELOPES,2,28/09/2011 15:42,1.65,14649,United Kingdom,3.3,9,2011,No
537036,22467,GUMBALL COAT RACK,1,03/12/2010 17:28,2.55,15545,United Kingdom,2.55,12,2010,No
580366,84879,ASSORTED COLOUR BIRD ORNAMENT,8,02/12/2011 16:38,1.69,Unknown,United Kingdom,13.52,12,2011,No
539470,85152,HAND OVER THE CHOCOLATE   SIGN ,2,19/12/2010 14:03,2.1,14472,United Kingdom,4.2,12,2010,No
538566,22427,ENAMEL FLOWER JUG CREAM,1,13/12/2010 11:21,11.87,Unknown,United Kingdom,11.87,12,2010,No
542384,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,27/01/2011 14:31,4.95,15827,United Kingdom,14.85,1,2011,No
548516,82578,KITCHEN METAL SIGN,1,31/03/2011 16:28,1.25,Unknown,United Kingdom,1.25,3,2011,No
577794,35400,WOODEN BOX ADVENT CALENDAR ,1,21/11/2011 16:48,8.95,14030,United Kingdom,8.95,11,2011,No
